AtomM,AtomN,Value,Lower,Upper,Opt.
false,false,true,false,false,false
8,9,-26.417491800122974,-30,30,false
9,9,-16.919197198190307,-30,30,false
16,16,-6.23962518638013,-30,30,false
53,53,-20.349941839352184,-30,30,false
